as_of_date,ticker,net_flow_usd,aum_usd,source
2025-11-05,US_BTC_SPOT,-136996456.5,139146463200.63312,SOSOVALUE
2025-11-04,US_BTC_SPOT,-577736015.8949997,134529401206.03912,SOSOVALUE
2025-11-03,US_BTC_SPOT,-186512480.0,143509332664.4837,SOSOVALUE
2025-10-31,US_BTC_SPOT,-191596715.995,147731750197.20828,SOSOVALUE
2025-10-30,US_BTC_SPOT,-488426030.4500005,143944369912.3431,SOSOVALUE
2025-10-29,US_BTC_SPOT,-470706614.055,149975436821.0931,SOSOVALUE
2025-10-28,US_BTC_SPOT,202483340.475,154811246977.18335,SOSOVALUE
2025-10-27,US_BTC_SPOT,149297173.0,155887840251.40894,SOSOVALUE
2025-10-24,US_BTC_SPOT,90604970.8,149961508014.63965,SOSOVALUE
2025-10-23,US_BTC_SPOT,20325414.98,149430555572.40915,SOSOVALUE
2025-10-22,US_BTC_SPOT,-101285733.16,146269744209.05032,SOSOVALUE
2025-10-21,US_BTC_SPOT,477185400.6300003,151577656888.78513,SOSOVALUE
2025-10-20,US_BTC_SPOT,-40468310.94,149663366960.0116,SOSOVALUE
2025-10-17,US_BTC_SPOT,-366585053.1,143934686386.17447,SOSOVALUE
2025-10-16,US_BTC_SPOT,-536436461.53999996,146435124899.46527,SOSOVALUE
2025-10-15,US_BTC_SPOT,-104114643.9,151319572513.19345,SOSOVALUE
2025-10-14,US_BTC_SPOT,102582380.54,153549637125.82703,SOSOVALUE
2025-10-13,US_BTC_SPOT,-326515434.11,157179520752.8329,SOSOVALUE
2025-10-10,US_BTC_SPOT,-4503772.23,158964621380.81595,SOSOVALUE
2025-10-09,US_BTC_SPOT,197684064.68000004,164793004460.25983,SOSOVALUE
2025-10-08,US_BTC_SPOT,440725128.4,168002961067.15045,SOSOVALUE
2025-10-07,US_BTC_SPOT,875607450.0,164909175396.5847,SOSOVALUE
2025-10-06,US_BTC_SPOT,1205182658.7099998,169543558663.73883,SOSOVALUE
2025-10-03,US_BTC_SPOT,985081713.27,164496693923.12054,SOSOVALUE
2025-10-02,US_BTC_SPOT,627244401.965,161025456700.71667,SOSOVALUE
2025-10-01,US_BTC_SPOT,675814064.8500006,155894962518.53543,SOSOVALUE
2025-09-30,US_BTC_SPOT,429957109.1699994,150770861540.51556,SOSOVALUE
2025-09-29,US_BTC_SPOT,521951765.2999995,150407519260.4757,SOSOVALUE
2025-09-26,US_BTC_SPOT,-418254386.1099995,143562763306.89484,SOSOVALUE
2025-09-25,US_BTC_SPOT,-258459965.75000054,144351490006.75427,SOSOVALUE
2025-09-24,US_BTC_SPOT,240997524.0,149735910901.39847,SOSOVALUE
2025-09-23,US_BTC_SPOT,-103609722.835,147173920451.90155,SOSOVALUE
2025-09-22,US_BTC_SPOT,-363169441.5249989,148088421510.6089,SOSOVALUE
2025-09-19,US_BTC_SPOT,222619088.0,152305515492.92758,SOSOVALUE
2025-09-18,US_BTC_SPOT,163025717.6499994,155053126935.843,SOSOVALUE
2025-09-17,US_BTC_SPOT,-51282426.56999998,152453010527.14743,SOSOVALUE
2025-09-16,US_BTC_SPOT,292266165.4,153775068406.4856,SOSOVALUE
2025-09-15,US_BTC_SPOT,260017759.975,151715759624.96976,SOSOVALUE
2025-09-12,US_BTC_SPOT,642350174.92,153178171661.53403,SOSOVALUE
2025-09-11,US_BTC_SPOT,552782166.45,149643377115.06396,SOSOVALUE
2025-09-10,US_BTC_SPOT,757144698.96,147829102101.2548,SOSOVALUE
2025-09-09,US_BTC_SPOT,23054895.09499945,144300710208.72348,SOSOVALUE
2025-09-08,US_BTC_SPOT,368251608.4000006,145413877718.17383,SOSOVALUE
2025-09-05,US_BTC_SPOT,-160178187.64,144045093697.7134,SOSOVALUE
2025-09-04,US_BTC_SPOT,-227482223.02500057,142302458276.80264,SOSOVALUE
2025-09-03,US_BTC_SPOT,301324766.0,145246909238.0556,SOSOVALUE
2025-09-02,US_BTC_SPOT,332760613.6950005,143207919203.8379,SOSOVALUE
2025-08-29,US_BTC_SPOT,-126642750.72,139951410319.7346,SOSOVALUE
2025-08-28,US_BTC_SPOT,178896309.45999944,144957061783.4471,SOSOVALUE
2025-08-27,US_BTC_SPOT,81246024.75000055,144572477382.5278,SOSOVALUE
2025-08-26,US_BTC_SPOT,88204940.78000055,143148013928.66397,SOSOVALUE
2025-08-25,US_BTC_SPOT,219001445.82499945,143649686838.7546,SOSOVALUE
2025-08-22,US_BTC_SPOT,-23149183.865,150228679984.03082,SOSOVALUE
2025-08-21,US_BTC_SPOT,-194321082.13,144480589951.6842,SOSOVALUE
2025-08-20,US_BTC_SPOT,-311566483.2399994,147018061023.11005,SOSOVALUE
2025-08-19,US_BTC_SPOT,-523311423.44,146183485985.3043,SOSOVALUE
2025-08-18,US_BTC_SPOT,-121808966.70000115,150893645108.8748,SOSOVALUE
2025-08-15,US_BTC_SPOT,-14129518.99999942,151979145127.09036,SOSOVALUE
2025-08-14,US_BTC_SPOT,230933769.645,153427309849.81036,SOSOVALUE
2025-08-13,US_BTC_SPOT,86914542.82,158642617563.09344,SOSOVALUE
2025-08-12,US_BTC_SPOT,65947428.4,155016436291.02008,SOSOVALUE
2025-08-11,US_BTC_SPOT,178154998.81,154418084942.67636,SOSOVALUE
2025-08-08,US_BTC_SPOT,403881213.6,150696574346.10617,SOSOVALUE
2025-08-07,US_BTC_SPOT,280688452.31,150972175369.34372,SOSOVALUE
2025-08-06,US_BTC_SPOT,91554340.55,148504979602.18253,SOSOVALUE
2025-08-05,US_BTC_SPOT,-196178800.0,146182420154.20956,SOSOVALUE
2025-08-04,US_BTC_SPOT,-333191857.7,147955091873.60257,SOSOVALUE
2025-08-01,US_BTC_SPOT,-812246966.1,146478614045.7663,SOSOVALUE
2025-07-31,US_BTC_SPOT,-114834242.24999999,152006094351.0942,SOSOVALUE
2025-07-30,US_BTC_SPOT,47038253.4,151364851940.7497,SOSOVALUE
2025-07-29,US_BTC_SPOT,79978069.35,152710693708.33963,SOSOVALUE
2025-07-28,US_BTC_SPOT,157021242.475,153194696329.28424,SOSOVALUE
2025-07-25,US_BTC_SPOT,130692903.21,151453512032.72687,SOSOVALUE
2025-07-24,US_BTC_SPOT,226608277.85,154446380366.90463,SOSOVALUE
2025-07-23,US_BTC_SPOT,-85962758.04,153249537889.60452,SOSOVALUE
2025-07-22,US_BTC_SPOT,-67932190.885,154773271490.12796,SOSOVALUE
2025-07-21,US_BTC_SPOT,-131349096.85,151603323338.36487,SOSOVALUE
2025-07-18,US_BTC_SPOT,363454160.365,152397836177.06204,SOSOVALUE
2025-07-17,US_BTC_SPOT,522599551.795,154613938905.89328,SOSOVALUE
2025-07-16,US_BTC_SPOT,799399995.2,153761749469.09457,SOSOVALUE
2025-07-15,US_BTC_SPOT,402994856.445,149656567026.04428,SOSOVALUE
2025-07-14,US_BTC_SPOT,297396370.36,153294553338.9602,SOSOVALUE
2025-07-11,US_BTC_SPOT,1029699313.05,150599951494.06604,SOSOVALUE
2025-07-10,US_BTC_SPOT,1178827866.4,143861659016.91168,SOSOVALUE
2025-07-09,US_BTC_SPOT,218040421.155,139389264079.38605,SOSOVALUE
2025-07-08,US_BTC_SPOT,80078975.7,136749218778.97072,SOSOVALUE
2025-07-07,US_BTC_SPOT,216638681.38,135709418097.66852,SOSOVALUE
2025-07-03,US_BTC_SPOT,601937786.79,137596736310.74103,SOSOVALUE
2025-07-02,US_BTC_SPOT,407778961.955,136679368309.09264,SOSOVALUE
2025-07-01,US_BTC_SPOT,-342251387.265,131295122511.67068,SOSOVALUE
2025-06-30,US_BTC_SPOT,102139223.565,134111134008.58047,SOSOVALUE
2025-06-27,US_BTC_SPOT,501271088.185,133170224379.15028,SOSOVALUE
2025-06-26,US_BTC_SPOT,228150439.23,133531931223.5746,SOSOVALUE
2025-06-25,US_BTC_SPOT,547720695.205,133560968435.12648,SOSOVALUE
2025-06-24,US_BTC_SPOT,588547154.5349995,130282904544.40048,SOSOVALUE
2025-06-23,US_BTC_SPOT,350429240.4150005,126608323093.34816,SOSOVALUE
2025-06-20,US_BTC_SPOT,6365769.25,126537063116.9118,SOSOVALUE
2025-06-18,US_BTC_SPOT,389567193.85,127425012170.93256,SOSOVALUE
2025-06-17,US_BTC_SPOT,216483836.965,128180042489.00772,SOSOVALUE
2025-06-16,US_BTC_SPOT,412201147.275,132504330333.27292,SOSOVALUE
2025-06-13,US_BTC_SPOT,322602946.3,127870225740.01857,SOSOVALUE
2025-06-12,US_BTC_SPOT,86311350.9,130263218988.0128,SOSOVALUE
2025-06-11,US_BTC_SPOT,164565924.85,131845014214.53552,SOSOVALUE
2025-06-10,US_BTC_SPOT,431120840.62,132833153801.31432,SOSOVALUE
2025-06-09,US_BTC_SPOT,386274141.785,131061405147.388,SOSOVALUE
2025-06-06,US_BTC_SPOT,-47822507.15,125582273018.22067,SOSOVALUE
2025-06-05,US_BTC_SPOT,-278435958.87,122977906593.12712,SOSOVALUE
2025-06-04,US_BTC_SPOT,86921550.95,126665427567.15816,SOSOVALUE
2025-06-03,US_BTC_SPOT,378043221.385,128129714005.27805,SOSOVALUE
2025-06-02,US_BTC_SPOT,-267520349.93,125472400684.26201,SOSOVALUE
2025-05-30,US_BTC_SPOT,-616218414.2,126151609650.02028,SOSOVALUE
2025-05-29,US_BTC_SPOT,-358653461.615,128126617785.726,SOSOVALUE
2025-05-28,US_BTC_SPOT,432618888.28,130290489165.2126,SOSOVALUE
2025-05-27,US_BTC_SPOT,384852936.96,132894503404.93211,SOSOVALUE
2025-05-23,US_BTC_SPOT,211737424.345,131391891333.26283,SOSOVALUE
2025-05-22,US_BTC_SPOT,934742459.72,134295403454.3598,SOSOVALUE
2025-05-21,US_BTC_SPOT,608993678.8,129015028335.8834,SOSOVALUE
2025-05-20,US_BTC_SPOT,329022102.06,126795333250.27704,SOSOVALUE
2025-05-19,US_BTC_SPOT,667438126.07,124973229522.01012,SOSOVALUE
2025-05-16,US_BTC_SPOT,260266134.59,122665639298.53523,SOSOVALUE
2025-05-15,US_BTC_SPOT,114958483.23,121469162844.60068,SOSOVALUE
2025-05-14,US_BTC_SPOT,319558528.8,121844538030.37532,SOSOVALUE
2025-05-13,US_BTC_SPOT,-96142497.0,122920414537.81525,SOSOVALUE
2025-05-12,US_BTC_SPOT,5096682.809999996,119673446153.40028,SOSOVALUE
2025-05-09,US_BTC_SPOT,334584629.5,121233114292.33636,SOSOVALUE
2025-05-08,US_BTC_SPOT,117461399.29,118660307913.6036,SOSOVALUE
2025-05-07,US_BTC_SPOT,142307651.555,112711514975.82916,SOSOVALUE
2025-05-06,US_BTC_SPOT,-85635334.25,111151963134.41805,SOSOVALUE
2025-05-05,US_BTC_SPOT,425452985.31,110684499816.54497,SOSOVALUE
2025-05-02,US_BTC_SPOT,674913599.9999934,113149486148.63528,SOSOVALUE
2025-05-01,US_BTC_SPOT,422448326.7800066,111986220453.59009,SOSOVALUE
2025-04-30,US_BTC_SPOT,-56233632.01499997,108583018201.60144,SOSOVALUE
2025-04-29,US_BTC_SPOT,172781570.075,110170761489.31532,SOSOVALUE
2025-04-28,US_BTC_SPOT,591288600.91,109301055703.21016,SOSOVALUE
2025-04-25,US_BTC_SPOT,379994959.58,109273098662.22708,SOSOVALUE
2025-04-24,US_BTC_SPOT,441997650.3200063,106967130235.35391,SOSOVALUE
2025-04-23,US_BTC_SPOT,916908282.6749938,106387900988.97935,SOSOVALUE
2025-04-22,US_BTC_SPOT,936433322.75,103344585832.48177,SOSOVALUE
2025-04-21,US_BTC_SPOT,381399377.16,97611327206.23633,SOSOVALUE
2025-04-17,US_BTC_SPOT,107829223.57,94507003946.61311,SOSOVALUE
2025-04-16,US_BTC_SPOT,-169867570.37,93650024845.57256,SOSOVALUE
2025-04-15,US_BTC_SPOT,76415057.04,93719255819.81915,SOSOVALUE
2025-04-14,US_BTC_SPOT,1470471.939999996,94691967762.52324,SOSOVALUE
2025-04-11,US_BTC_SPOT,-1027074.599999999,93357800630.8878,SOSOVALUE
2025-04-10,US_BTC_SPOT,-149664572.645,88612809441.93797,SOSOVALUE
2025-04-09,US_BTC_SPOT,-127121657.74,91790024184.00555,SOSOVALUE
2025-04-08,US_BTC_SPOT,-326272921.74,85756010628.22324,SOSOVALUE
2025-04-07,US_BTC_SPOT,-109209809.815,87858584458.683,SOSOVALUE
2025-04-04,US_BTC_SPOT,-64877645.669999994,94450421277.10512,SOSOVALUE
2025-04-03,US_BTC_SPOT,-99859088.38,92177467739.81984,SOSOVALUE
2025-04-02,US_BTC_SPOT,220762938.99499997,97354213139.16104,SOSOVALUE
2025-04-01,US_BTC_SPOT,-157643699.57000002,95448359732.40852,SOSOVALUE
2025-03-31,US_BTC_SPOT,-71074972.34,93166266596.43204,SOSOVALUE
2025-03-28,US_BTC_SPOT,-93157233.675,94387629960.80156,SOSOVALUE
2025-03-27,US_BTC_SPOT,89063833.85999998,98287845162.25688,SOSOVALUE
2025-03-26,US_BTC_SPOT,89569611.59,97217087504.45096,SOSOVALUE
2025-03-25,US_BTC_SPOT,26834350.91,99071749398.00745,SOSOVALUE
2025-03-24,US_BTC_SPOT,84173567.21000001,99313663458.07756,SOSOVALUE
2025-03-21,US_BTC_SPOT,83091868.2,94351055464.4606,SOSOVALUE
2025-03-20,US_BTC_SPOT,165750101.0,94471970105.08632,SOSOVALUE
2025-03-19,US_BTC_SPOT,11798372.74,95748570440.77553,SOSOVALUE
2025-03-18,US_BTC_SPOT,209117235.48,91973954530.80577,SOSOVALUE
2025-03-17,US_BTC_SPOT,274590665.565,94480487561.07516,SOSOVALUE
2025-03-14,US_BTC_SPOT,32116293.52000001,93540822587.04268,SOSOVALUE
2025-03-13,US_BTC_SPOT,-143298082.3,89604791802.21468,SOSOVALUE
2025-03-12,US_BTC_SPOT,13332608.63,92453683536.27045,SOSOVALUE
2025-03-11,US_BTC_SPOT,-371002863.425,92837522517.48228,SOSOVALUE
2025-03-10,US_BTC_SPOT,-369422689.71,88140842544.26157,SOSOVALUE
2025-03-07,US_BTC_SPOT,-409213077.42,98483261564.16504,SOSOVALUE
2025-03-06,US_BTC_SPOT,-134261943.145,100601564031.01115,SOSOVALUE
2025-03-05,US_BTC_SPOT,-38295824.33,102118428161.88452,SOSOVALUE
2025-03-04,US_BTC_SPOT,-143433832.10999998,99373635775.94617,SOSOVALUE
2025-03-03,US_BTC_SPOT,-74189301.4,97258225490.5299,SOSOVALUE
2025-02-28,US_BTC_SPOT,94336134.04,95379045180.4334,SOSOVALUE
2025-02-27,US_BTC_SPOT,-275831620.92,94302385690.16447,SOSOVALUE
2025-02-26,US_BTC_SPOT,-754525046.7049943,95162126012.01219,SOSOVALUE
2025-02-25,US_BTC_SPOT,-1138847756.0,101012070816.84804,SOSOVALUE
2025-02-24,US_BTC_SPOT,-538980429.645,109189420239.48347,SOSOVALUE
2025-02-21,US_BTC_SPOT,-62772515.2400129,110795193417.55208,SOSOVALUE
2025-02-20,US_BTC_SPOT,-364933137.725,114861852221.80945,SOSOVALUE
2025-02-19,US_BTC_SPOT,-71070931.26,112586619861.92172,SOSOVALUE
2025-02-18,US_BTC_SPOT,-60634954.72,110070696738.52513,SOSOVALUE
2025-02-14,US_BTC_SPOT,66186495.425006635,114436183593.26245,SOSOVALUE
2025-02-13,US_BTC_SPOT,-157775868.05,112479811391.76053,SOSOVALUE
2025-02-12,US_BTC_SPOT,-251025523.3400066,113913227216.83824,SOSOVALUE
2025-02-11,US_BTC_SPOT,-56755705.359993555,111777532115.54868,SOSOVALUE
2025-02-10,US_BTC_SPOT,-186277135.15,114437100978.47012,SOSOVALUE
2025-02-07,US_BTC_SPOT,171186343.18500653,113094572186.56952,SOSOVALUE
2025-02-06,US_BTC_SPOT,-140299486.55,113508296147.74884,SOSOVALUE
2025-02-05,US_BTC_SPOT,66376113.8449934,114706108272.912,SOSOVALUE
2025-02-04,US_BTC_SPOT,340815150.7100067,116043895418.22525,SOSOVALUE
2025-02-03,US_BTC_SPOT,-234537561.1,119140429033.4252,SOSOVALUE
2025-01-31,US_BTC_SPOT,318561243.08999306,119657428312.53291,SOSOVALUE
2025-01-30,US_BTC_SPOT,588224215.39,123431940255.09784,SOSOVALUE
2025-01-29,US_BTC_SPOT,92089472.83,121361510139.67024,SOSOVALUE
2025-01-28,US_BTC_SPOT,18437914.825,118616609823.8842,SOSOVALUE
2025-01-27,US_BTC_SPOT,-457475226.69,117350175797.90508,SOSOVALUE
2025-01-24,US_BTC_SPOT,517669375.76,123057900742.74107,SOSOVALUE
2025-01-23,US_BTC_SPOT,188645636.29999757,121598797854.21667,SOSOVALUE
2025-01-22,US_BTC_SPOT,248653567.86500245,121402731516.02193,SOSOVALUE
2025-01-21,US_BTC_SPOT,802496139.31,123590287896.90979,SOSOVALUE
2025-01-17,US_BTC_SPOT,1076410739.29,121279716792.43457,SOSOVALUE
2025-01-16,US_BTC_SPOT,626150992.67,114817762691.46848,SOSOVALUE
2025-01-15,US_BTC_SPOT,755013696.4399999,113636511202.95892,SOSOVALUE
2025-01-14,US_BTC_SPOT,-209824169.68,108980924711.35359,SOSOVALUE
2025-01-13,US_BTC_SPOT,-284190492.98,105045812020.9232,SOSOVALUE
2025-01-10,US_BTC_SPOT,-149350521.83,107638860987.08716,SOSOVALUE
2025-01-08,US_BTC_SPOT,-582896929.21,106815266960.06816,SOSOVALUE
2025-01-07,US_BTC_SPOT,52389917.04000237,110114489528.08069,SOSOVALUE
2025-01-06,US_BTC_SPOT,987055105.9699976,116666517307.79411,SOSOVALUE
2025-01-03,US_BTC_SPOT,908098479.245,111456460453.79424,SOSOVALUE
2025-01-02,US_BTC_SPOT,-242296497.7050023,109428492765.60036,SOSOVALUE
2024-12-31,US_BTC_SPOT,5318057.260000002,105401220738.79616,SOSOVALUE
2024-12-30,US_BTC_SPOT,-426126986.42499554,106239027189.9276,SOSOVALUE
2024-12-27,US_BTC_SPOT,-297752265.2500045,106682697270.39111,SOSOVALUE
2024-12-26,US_BTC_SPOT,475150899.13000226,108240546751.40944,SOSOVALUE
2024-12-24,US_BTC_SPOT,-338381263.1,110040469147.94624,SOSOVALUE
2024-12-23,US_BTC_SPOT,-226558044.91,105084248438.01004,SOSOVALUE
2024-12-20,US_BTC_SPOT,-276933547.6,109724567994.86565,SOSOVALUE
2024-12-19,US_BTC_SPOT,-679995509.7949977,109655223846.90248,SOSOVALUE
2024-12-18,US_BTC_SPOT,275391380.89999527,115779457437.6018,SOSOVALUE
2024-12-17,US_BTC_SPOT,493946897.085,121683199379.65305,SOSOVALUE
2024-12-16,US_BTC_SPOT,636845161.570005,120711743758.48788,SOSOVALUE
2024-12-13,US_BTC_SPOT,428984779.81,114969120665.19572,SOSOVALUE
2024-12-12,US_BTC_SPOT,597569590.7999976,112545692198.12328,SOSOVALUE
2024-12-11,US_BTC_SPOT,223028905.775,113716556129.13644,SOSOVALUE
2024-12-10,US_BTC_SPOT,439557953.58,107762521935.26044,SOSOVALUE
2024-12-09,US_BTC_SPOT,479055535.3000023,107672727032.59952,SOSOVALUE
2024-12-06,US_BTC_SPOT,376588835.37999517,112744079769.39499,SOSOVALUE
2024-12-05,US_BTC_SPOT,766663223.3250023,109154044535.815,SOSOVALUE
2024-12-04,US_BTC_SPOT,556824638.3199999,108232023751.234,SOSOVALUE
2024-12-03,US_BTC_SPOT,675974792.86,104253497392.014,SOSOVALUE
2024-12-02,US_BTC_SPOT,353666931.21999997,103909232098.214,SOSOVALUE
2024-11-29,US_BTC_SPOT,320006108.68,105278946028.97101,SOSOVALUE
2024-11-27,US_BTC_SPOT,103087404.39,104323029082.894,SOSOVALUE
2024-11-26,US_BTC_SPOT,-122784535.395,98149938194.687,SOSOVALUE
2024-11-25,US_BTC_SPOT,-438383197.7250001,102230244185.749,SOSOVALUE
2024-11-22,US_BTC_SPOT,490346944.5500002,107487781609.948,SOSOVALUE
2024-11-21,US_BTC_SPOT,1004967385.105,105907621021.38899,SOSOVALUE
2024-11-20,US_BTC_SPOT,796053552.973,100628869579.732,SOSOVALUE
2024-11-19,US_BTC_SPOT,837358509.8549998,98426407311.554,SOSOVALUE
2024-11-18,US_BTC_SPOT,254824490.94,95931620693.675,SOSOVALUE
2024-11-15,US_BTC_SPOT,-370103376.00999993,95406528230.14,SOSOVALUE
2024-11-14,US_BTC_SPOT,-400672193.765,92556462910.765,SOSOVALUE
2024-11-13,US_BTC_SPOT,510109934.27,95396498195.01,SOSOVALUE
2024-11-12,US_BTC_SPOT,817535039.97,94015999909.52,SOSOVALUE
2024-11-11,US_BTC_SPOT,1114027499.3000002,90604537254.145,SOSOVALUE
2024-11-08,US_BTC_SPOT,293474358.79,78908075032.06,SOSOVALUE
2024-11-07,US_BTC_SPOT,1375985491.91,78500252133.32,SOSOVALUE
2024-11-06,US_BTC_SPOT,621899344.62,76481097026.085,SOSOVALUE
2024-11-05,US_BTC_SPOT,-116901503.38499992,69276733014.855,SOSOVALUE
2024-11-04,US_BTC_SPOT,-541068862.8249999,67441181077.93,SOSOVALUE
2024-11-01,US_BTC_SPOT,-54940341.750000075,69637270902.58,SOSOVALUE
2024-10-31,US_BTC_SPOT,32140814.224999964,70857576145.27,SOSOVALUE
2024-10-30,US_BTC_SPOT,893211570.0999999,72457673930.205,SOSOVALUE
2024-10-29,US_BTC_SPOT,870023473.1800001,72545203636.87,SOSOVALUE
2024-10-28,US_BTC_SPOT,479351551.45,68471711464.1,SOSOVALUE
2024-10-25,US_BTC_SPOT,402076677.33,65252849053.19,SOSOVALUE
2024-10-24,US_BTC_SPOT,188111892.76,66086052982.695,SOSOVALUE
2024-10-23,US_BTC_SPOT,192313193.75,64088255772.52,SOSOVALUE
2024-10-22,US_BTC_SPOT,-79090543.74,65118006587.955,SOSOVALUE
2024-10-21,US_BTC_SPOT,294285419.9,65336506959.515,SOSOVALUE
2024-10-18,US_BTC_SPOT,273707013.285,66114331896.405,SOSOVALUE
2024-10-17,US_BTC_SPOT,470479138.98,64060876123.35,SOSOVALUE
2024-10-16,US_BTC_SPOT,458536071.735,64459041610.81,SOSOVALUE
2024-10-15,US_BTC_SPOT,371024201.64,63125860372.455,SOSOVALUE
2024-10-14,US_BTC_SPOT,555859113.78,61894994455.21,SOSOVALUE
2024-10-11,US_BTC_SPOT,253543914.355,58662011868.68,SOSOVALUE
2024-10-10,US_BTC_SPOT,-120755914.92,55150795114.67,SOSOVALUE
2024-10-09,US_BTC_SPOT,-40561873.2,56631045429.575,SOSOVALUE
2024-10-08,US_BTC_SPOT,-18663019.16,57717725429.94,SOSOVALUE
2024-10-07,US_BTC_SPOT,235194873.31499994,58812775937.535,SOSOVALUE
2024-10-04,US_BTC_SPOT,25585851.834999997,57733757252.36,SOSOVALUE
2024-10-03,US_BTC_SPOT,-54133020.63999994,56314551624.78,SOSOVALUE
2024-10-02,US_BTC_SPOT,-91763349.35,55850237740.465,SOSOVALUE
2024-10-01,US_BTC_SPOT,-242530499.485,57361992401.994995,SOSOVALUE
2024-09-30,US_BTC_SPOT,61296621.51,59084911574.865,SOSOVALUE
2024-09-27,US_BTC_SPOT,494267716.6499999,61210108012.335,SOSOVALUE
2024-09-26,US_BTC_SPOT,365565988.45000005,60026491592.465,SOSOVALUE
2024-09-25,US_BTC_SPOT,105841865.33,58043422169.28,SOSOVALUE
2024-09-24,US_BTC_SPOT,135948724.26,58673003508.96,SOSOVALUE
2024-09-23,US_BTC_SPOT,4555875.93,57905903408.66,SOSOVALUE
2024-09-20,US_BTC_SPOT,91996489.025,57473993028.71,SOSOVALUE
2024-09-19,US_BTC_SPOT,158211525.6,57819251191.685,SOSOVALUE
2024-09-18,US_BTC_SPOT,-52827023.52,54845800287.57,SOSOVALUE
2024-09-17,US_BTC_SPOT,186755222.67499998,54840325948.835,SOSOVALUE
2024-09-16,US_BTC_SPOT,12904103.89,52569532466.06,SOSOVALUE
2024-09-13,US_BTC_SPOT,263070113.49,54305604168.26501,SOSOVALUE
2024-09-12,US_BTC_SPOT,39023926.02499976,52672558797.095,SOSOVALUE
2024-09-11,US_BTC_SPOT,-43965610.98,51957145867.85,SOSOVALUE
2024-09-10,US_BTC_SPOT,116960855.49999999,52201660191.83,SOSOVALUE
2024-09-09,US_BTC_SPOT,28719633.590000235,51310045721.33,SOSOVALUE
2024-09-06,US_BTC_SPOT,-169970418.8449998,48242908583.299995,SOSOVALUE
2024-09-05,US_BTC_SPOT,-211152972.81000024,50726893150.795,SOSOVALUE
2024-09-04,US_BTC_SPOT,-37287522.35,52581745389.475,SOSOVALUE
2024-09-03,US_BTC_SPOT,-287777306.79,52688605012.885,SOSOVALUE
2024-08-30,US_BTC_SPOT,-175670694.49,53775193980.265,SOSOVALUE
2024-08-29,US_BTC_SPOT,-71730053.78999999,54361974219.125,SOSOVALUE
2024-08-28,US_BTC_SPOT,-105188059.92999999,54321735689.6,SOSOVALUE
2024-08-27,US_BTC_SPOT,-127050853.95,57067535586.545,SOSOVALUE
